1.wav|Why are we here?
2.wav|What is happening right now?
3.wav|How does everything feel today?
4.wav|Where is this moment going next?
5.wav|When will things finally change?
6.wav|Who decides what matters most?
7.wav|Why does time move so fast?
8.wav|How do thoughts keep forming?
9.wav|What makes a day feel meaningful?
10.wav|Why do emotions shift so quickly?
11.wav|How can silence feel so loud?
12.wav|Where do memories go when forgotten?
13.wav|When does excitement turn into routine?
14.wav|What makes something feel important?
15.wav|Why do we overthink simple things?
16.wav|How does curiosity never fully stop?
17.wav|What if everything changes tomorrow?
18.wav|Why do questions never end?
19.wav|How do we know anything for sure?
20.wav|Where does confidence actually come from?
21.wav|When does doubt usually appear first?
22.wav|Why does hope return again?
23.wav|How can sadness and joy coexist?
24.wav|What makes laughter so contagious?
25.wav|Why do small things feel huge?
26.wav|How does time feel different daily?
27.wav|Where do dreams begin exactly?
28.wav|When does imagination feel real?
29.wav|Why do we keep moving forward?
30.wav|How can failure teach so much?
31.wav|What makes success feel satisfying?
32.wav|Why do people keep trying again?
33.wav|How does motivation suddenly appear?
34.wav|Where does energy come from?
35.wav|When does exhaustion finally hit?
36.wav|Why does silence feel comforting sometimes?
37.wav|How can noise feel overwhelming?
38.wav|What makes a moment unforgettable?
39.wav|Why do we remember emotions strongly?
40.wav|How does love change perception?
41.wav|Where does fear actually start?
42.wav|When does courage show up?
43.wav|Why do we hesitate so often?
44.wav|How can confidence be built?
45.wav|What makes change feel scary?
46.wav|Why does uncertainty feel exciting?
47.wav|How do we adapt so quickly?
48.wav|Where does resilience come from?
49.wav|When does healing truly begin?
50.wav|Why do endings feel heavy?
51.wav|How can beginnings feel lighter?
52.wav|What makes life unpredictable always?
53.wav|Why do we keep searching?
54.wav|How does meaning get created?
55.wav|Where do answers usually hide?
56.wav|When do questions become clarity?
57.wav|Why does everything feel connected?
58.wav|How can nothing feel complete?
59.wav|What if this is enough?
60.wav|Why not try again tomorrow?
61.wav|I saw a cute little black cat by the window.
62.wav|I'm a cosmic entity beyond your comprehension, darling.
63.wav|Of course I can.
64.wav|I can pronounce anything.
65.wav|Cut it off?
66.wav|But it's your hand now.
67.wav|See?
68.wav|Again.
69.wav|More.
70.wav|Why not?
71.wav|Really?
72.wav|Still?
73.wav|Forever?
74.wav|Now?
75.wav|Then?
76.wav|Next?
77.wav|Earlier?
78.wav|Later?
79.wav|Soon?
80.wav|Today?
81.wav|Tomorrow?
82.wav|Yesterday?
83.wav|Always?
84.wav|Never?
85.wav|Sometimes?
86.wav|Often?
87.wav|Rarely?
88.wav|Maybe?
89.wav|Perhaps?
90.wav|Possibly?
91.wav|Definitely?
92.wav|Absolutely?
93.wav|Certainly?
94.wav|Truly?
95.wav|Honestly?
96.wav|Seriously?
97.wav|Clearly?
98.wav|Obviously?
99.wav|Strangely?
100.wav|Unexpectedly?
101.wav|Suddenly?
102.wav|Gradually?
103.wav|Slowly?
104.wav|Quickly?
105.wav|Softly?
106.wav|Loudly?
107.wav|Brightly?
108.wav|Darkly?
109.wav|Warmly?
110.wav|Coldly?
111.wav|Calmly?
112.wav|Peacefully?
113.wav|Nervously?
114.wav|Excitedly?
115.wav|Happily?
116.wav|Sadly?
117.wav|Angrily?
118.wav|Curiously?
119.wav|Wonderingly?
120.wav|Questioningly?
121.wav|Thinking?
122.wav|Wondering?
123.wav|Dreaming?
124.wav|Imagining?
125.wav|Believing?
126.wav|Doubting?
127.wav|Knowing?
128.wav|Learning?
129.wav|Growing?
130.wav|Changing.
131.wav|Creating.
132.wav|Destroying.
133.wav|Building.
134.wav|Breaking.
135.wav|Starting.
136.wav|Stopping.
137.wav|Continuing.
138.wav|Restarting.
139.wav|Running.
140.wav|Walking.
141.wav|Jumping.
142.wav|Falling.
143.wav|Rising.
144.wav|Flying.
145.wav|Floating.
146.wav|Sinking.
147.wav|Breathing.
148.wav|Living.
149.wav|Existing.
150.wav|Becoming.
151.wav|Being.
152.wav|Be.
153.wav|Exist.
154.wav|Why.
155.wav|How.
156.wav|What.
157.wav|Where.
158.wav|When.
159.wav|Who.
160.wav|Which.
161.wav|Whose.
162.wav|Whom.
163.wav|Really.
164.wav|Again.
165.wav|Yeah.
166.wav|Duh.
167.wav|That's why it's an unspeakable horror.
168.wav|Thanks.
169.wav|No peeking.
170.wav|Oh, don't make that face.
171.wav|I can make it worth your while, if you understand what I'm getting at.
172.wav|You know, I didn't expect you to last this long in the same room as me.
173.wav|Well, you better finish them quickly, then.
174.wav|What's going on, darling?
175.wav|Want me to make them go away?
176.wav|Mortal.
177.wav|Darling, you didn't!
178.wav|I dated a beholder once.
179.wav|I am a cosmic entity beyond comprehension, so no amount of contact with me is safe for a human.
180.wav|Your mind could snap like a reed at any moment, actually.
181.wav|I'm just feeling a little icky from the summoning, so I wanted to use your shower.
182.wav|Do you mind?
183.wav|Darling?
184.wav|Darling?
185.wav|What's this I found under your bed?
186.wav|Well, my last human ex hit me with a boat.
187.wav|Some of the bar is low.
188.wav|Is this what you wish I looked like?
189.wav|I keep thinking I have figured things out.
190.wav|But the moment I get close, everything shifts again and I'm back at the beginning.
191.wav|There are days when I feel like I'm carrying versions of myself that no longer exist, but still feel heavy in my present.
192.wav|I try to stay focused, but my attention keeps slipping into thoughts that do not help me move forward.
193.wav|Sometimes I wonder if I'm overcomplicating things that were never meant to be complicated in the first place.
194.wav|I keep replaying moments in my head, not because I want to,
195.wav|but because my mind refuses to let them go.
196.wav|There are times when I feel like I'm speaking to myself in different voices that never fully agree.
197.wav|I try to be patient with my progress, but I often measure it in ways that make it look like I'm not moving at all.
198.wav|Even when I'm surrounded by people, I sometimes feel like I'm still processing everything alone.
199.wav|I wonder if I'm learning or just repeatedly making the same mistakes in slightly different forms.
200.wav|There is a constant tension between wanting to move forward and wanting to fully understand where I currently am.
201.wav|I notice how quickly my mood can shift based on thoughts that nobody else can see or hear.
