101.wav|I honestly never imagined silence could become so unbearably loud that it would keep me awake at night even after everyone else had already fallen asleep!
102.wav|Why does this room still feel like you are here when you already walked away hours ago?
103.wav|Every single corner reminds me of you somehow, and I hate how impossible it feels to escape those memories!
104.wav|I keep replaying our last conversation in my head like some broken recording that refuses to stop no matter how badly I want peace.
105.wav|Maybe if I had answered differently, things would have turned out better between us.
106.wav|Or maybe we were already falling apart long before either of us was brave enough to admit it.
107.wav|Do you ever think about that too?
108.wav|Because I do, constantly!
109.wav|I hate how much I still care about someone who made me question my own worth over and over again.
110.wav|Actually, no, hate is the wrong word.
111.wav|What I really hate is the fact that you still matter to me after everything that happened between us!
112.wav|You always knew exactly what to say whenever you wanted to get close to me emotionally.
113.wav|How did you learn me so well?
114.wav|Seriously, how?
115.wav|It felt like you memorized every weakness, every fear, and every hidden insecurity I spent years trying to bury inside myself.
116.wav|And the worst part is that I let you.
117.wav|I trusted you completely without even realizing how dangerous that would become later on.
118.wav|God, when I think about it now, I sounded so hopeful back then!
119.wav|I told you things I had never spoken out loud before, things that honestly terrified me to admit even to myself.
120.wav|Did you understand how important that trust was to me?
121.wav|Or was I just another temporary person passing through your life for a little while?
122.wav|Sometimes I wonder if I ever meant as much to you as you meant to me.
123.wav|You looked so calm during our last conversation, and meanwhile I was barely holding myself together inside.
124.wav|How do people walk away so easily without completely breaking apart afterward?!
125.wav|Because my hands still shake whenever I think too deeply about everything we lost.
126.wav|I kept telling myself I was only overthinking things.
127.wav|Then I saw the way you looked at her.
128.wav|That tiny smile.
129.wav|That softer voice.
130.wav|That familiar warmth you used to reserve for me.
131.wav|You probably thought nobody noticed, but I noticed immediately!
132.wav|I always noticed everything about you, remember?
133.wav|Maybe that was my biggest mistake.
134.wav|Maybe loving someone deeply just means giving them the power to destroy you slowly.
135.wav|I tried acting mature about the whole thing instead of becoming emotional in front of everyone.
136.wav|I smiled.
137.wav|I laughed.
138.wav|I pretended I was fine!
139.wav|But every fake smile felt heavier than the last one until even breathing started feeling exhausting.
140.wav|I'm tired, not physically tired, but emotionally exhausted in a way sleep cannot fix anymore.
141.wav|It feels like carrying invisible weight inside my chest every single day.
142.wav|Some mornings I wake up and immediately wish I could skip the entire day altogether.
143.wav|But don't misunderstand me.
144.wav|I'm still trying!
145.wav|Even now, I'm still trying to rebuild myself piece by piece.
146.wav|Do you know how exhausting it is to start over emotionally after giving someone your entire heart?
147.wav|Do you know what it feels like to stop yourself from checking your phone every five minutes hoping for a message that never arrives?
148.wav|It's humiliating!
149.wav|And somehow addictive at the same time.
150.wav|I miss you most during random little moments that shouldn't even matter this much.
151.wav|Whenever something funny happens, my first instinct is still to turn toward you before reality hits me again.
152.wav|Isn't that pathetic?
153.wav|My brain still reaches for someone who is no longer here.
154.wav|Sometimes I wonder if I ever cross your mind unexpectedly during ordinary moments.
155.wav|Like while you're waiting in traffic.
156.wav|Or standing in line at some random store.
157.wav|Or lying awake at night unable to sleep.
158.wav|Do you ever miss me too?
159.wav|Or was I only important while I was convenient for you?
160.wav|Because to me, you felt permanent.
161.wav|You felt like home.
162.wav|And maybe that's why losing you feels like losing part of myself too.
163.wav|I built entire futures around small promises you probably forgot seconds after saying them.
164.wav|I remembered everything about you!
165.wav|Your favorite drink order.
166.wav|The songs you always skipped halfway through.
167.wav|The way your voice changed whenever you were exhausted or upset.
168.wav|I paid attention to every little detail because loving you became automatic for me.
169.wav|People always describe deep love as beautiful and romantic, but nobody talks about how terrifying it becomes when things fall apart.
170.wav|Sometimes loving someone too much feels less like flying and more like drowning slowly.
171.wav|And honestly?
172.wav|If you walked through that door right now, I don't even know what I would do anymore.
173.wav|Part of me would want to scream at you for everything you put me through!
174.wav|Another part of me would probably collapse into your arms without thinking twice.
175.wav|That's what scares me the most.
176.wav|I want to be stronger than this.
177.wav|I want to hear your name without feeling my chest tighten painfully.
178.wav|I want to stop turning old memories into evidence while trying to figure out whether you ever truly loved me at all.
179.wav|But healing isn't simple, is it?
180.wav|Some days I feel completely fine.
181.wav|Then suddenly one song ruins everything again!
182.wav|Today is one of those days.
183.wav|I accidentally wore the sweater you once said looked beautiful on me, and somehow that tiny detail destroyed my mood instantly.
184.wav|Why am I still holding onto things connected to you?!
185.wav|Maybe part of me still wants to feel loved the way you once made me feel.
186.wav|Or maybe I just miss the version of myself that existed before everything became complicated.
187.wav|She seemed happier.
188.wav|Lighter.
189.wav|Less afraid of abandonment and disappointment.
190.wav|I miss her almost as much as I miss you.
191.wav|But I know she's not gone forever.
192.wav|She's buried underneath heartbreak, anxiety, sleepless nights, and memories that still refuse to leave me alone.
193.wav|And one day, maybe not today and maybe not soon, I know I'll finally stop measuring my worth based on who decided to stay.
194.wav|One day your name won't hurt anymore.
195.wav|One day these memories will feel distant instead of suffocating.
196.wav|One day I'll tell this story without my voice shaking halfway through it.
197.wav|But today?
198.wav|Today it still hurts.
